rowid,mpl_hostname,mpl_letter,mpl_def,mpl_reflink,mpl_discmethod,mpl_pnum,mpl_orbper,mpl_orbsmax,mst_teff,mst_mass,mst_rad,rowupdate,mpl_name,mpl_masse,mpl_rade,mpl_disc,mpl_status,st_dist
1681,Kepler-158,b,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Transit,2,16.709184,0.111,4623,,0.62,5/14/14,Kepler-158 b,,2.12,2014,3,872
1682,Kepler-158,c,1,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...784...45R target=ref> Rowe et al. 2014</a>,Transit,2,28.551383,0.158,4623,,0.62,5/14/14,Kepler-158 c,,1.9,2014,3,443
1683,Kepler-1580,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,56.6449279,,6228,1.47,2.15,5/10/16,Kepler-1580 b,,2.11,2016,3,112
1684,Kepler-1581,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,6.28385491,,6022,1.12,1.23,5/10/16,Kepler-1581 b,,0.8,2016,3,357
1685,Kepler-1582,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,4.83817712,,3208,0.28,0.3,5/10/16,Kepler-1582 b,,1.49,2016,3,1325
1686,Kepler-1583,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,9.32807355,,5645,0.94,0.91,5/10/16,Kepler-1583 b,,0.6,2016,3,1269
1687,Kepler-1584,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,13.3997099,,6069,1.1,1.13,5/10/16,Kepler-1584 b,,1.61,2016,3,864
1688,Kepler-1585,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,3.5827463,,5538,0.94,0.91,5/10/16,Kepler-1585 b,,1.79,2016,3,907
1689,Kepler-1586,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,15.6049212,,6681,1.45,1.75,5/10/16,Kepler-1586 b,,1.52,2016,3,658
1690,Kepler-1587,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,9.4060467,,5933,1.08,1.22,5/10/16,Kepler-1587 b,,1.33,2016,3,1418
1691,Kepler-1588,b,1,<a href=http://adsabs.harvard.edu/abs/2016ApJ...822...86M target=ref>Morton et al. 2016</a>,Transit,1,7.84931739,,5817,0.96,0.99,5/10/16,Kepler-1588 b,,0.76,2016,3,
